pcap,protocol,total_packets,avg_packet_size,avg_time_diff
185_131_204_20.pcap,ICMP,47,91.7872340425532,2.1694908401240474
185_131_204_20.pcap,UDP,57,91.47368421052632,1.5078215045588357
185_131_204_20.pcap,TCP,56,100.35714285714286,2.0174370115453546
5_161_76_19.pcap,ICMP,46,90.0,2.549194277657403
5_161_76_19.pcap,UDP,18,90.0,4.000031443203197
5_161_76_19.pcap,TCP,63,102.0,2.1052561575366604
80_77_4_60.pcap,ICMP,47,91.7872340425532,1.283219627712084
80_77_4_60.pcap,UDP,57,91.47368421052632,0.9049842825957707
80_77_4_60.pcap,TCP,60,97.4,0.7900251736075191
130_104_228_159.pcap,ICMP,23,93.65217391304348,4.7112824591723355
130_104_228_159.pcap,UDP,54,91.55555555555556,2.0153878904738516
130_104_228_159.pcap,TCP,60,97.4,2.0200022802514543
