Método,Protocol,IP_Destino,Hop,IP,AS,Attempt,TX_Time,RTT,Probe_Size,Reply_TTL,Reply_Size,Reply_IPID,Reply_TOS,ICMP_Type,ICMP_Code,Query_TTL,Query_Len,Query_TOS,Flags,Flags_Description
udp,UDP,5.161.76.19,1.0,192.168.1.1,IP Privada,1.0,0.000163,0.00045,44.0,64.0,72.0,0x7ad2,0xc0,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
udp,UDP,5.161.76.19,2.0,191.112.0.1,"AS7418 - TELEFONICA CHILE S.A., CL",1.0,0.050745,0.003757,44.0,254.0,56.0,0x0183,0xc0,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
udp,UDP,5.161.76.19,3.0,10.50.3.21,IP Privada,1.0,0.100706,0.004116,44.0,253.0,56.0,0x00cb,0xc0,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
udp,UDP,5.161.76.19,4.0,10.50.3.10,IP Privada,1.0,0.150013,0.004377,44.0,252.0,56.0,0x020b,0xc0,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
udp,UDP,5.161.76.19,7.0,213.140.43.234,"AS12956 - TELXIUS TELXIUS Cable, ES",2.0,25.220684,0.100576,44.0,249.0,96.0,0xa625,0x00,11.0,0.0,1.0,44.0,32.0,0x11, sockrxts replyttl 
udp,UDP,5.161.76.19,8.0,94.142.107.213,"AS12956 - TELXIUS TELXIUS Cable, ES",1.0,25.321317,0.099953,44.0,248.0,96.0,0x63f8,0x00,11.0,0.0,1.0,44.0,32.0,0x11, sockrxts replyttl 
udp,UDP,5.161.76.19,9.0,62.115.120.176,"AS1299 - TWELVE99 Arelion, fka Telia Carrier, SE",1.0,25.42133,0.143704,44.0,247.0,168.0,0x7141,0x00,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
udp,UDP,5.161.76.19,10.0,62.115.123.125,"AS1299 - TWELVE99 Arelion, fka Telia Carrier, SE",1.0,25.56509,0.121724,44.0,248.0,96.0,0x7722,0x00,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
udp,UDP,5.161.76.19,11.0,62.115.56.201,"AS1299 - TWELVE99 Arelion, fka Telia Carrier, SE",1.0,25.687109,0.133633,44.0,245.0,56.0,0x0000,0x00,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
udp,UDP,5.161.76.19,12.0,5.161.0.82,"AS213230 - HETZNER-CLOUD2-AS, DE",1.0,25.820799,0.133789,44.0,244.0,56.0,0x0000,0x00,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
udp,UDP,5.161.76.19,14.0,5.161.9.171,"AS213230 - HETZNER-CLOUD2-AS, DE",1.0,35.962704,0.142226,44.0,51.0,72.0,0xdc12,0x00,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
icmp-paris,ICMP,5.161.76.19,,,,,,,,,,,,,,,,,0x20, icmp-csum-dport 
icmp-paris,ICMP,5.161.76.19,1.0,192.168.1.1,IP Privada,1.0,1.3e-05,0.000449,44.0,64.0,72.0,0x7ad4,0xc0,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
icmp-paris,ICMP,5.161.76.19,2.0,191.112.0.1,"AS7418 - TELEFONICA CHILE S.A., CL",1.0,0.050645,0.005856,44.0,254.0,56.0,0x02c3,0xc0,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
icmp-paris,ICMP,5.161.76.19,3.0,10.50.3.9,IP Privada,1.0,0.100624,0.004449,44.0,253.0,56.0,0x00fe,0xc0,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
udp,UDP,130.104.228.159,1.0,192.168.1.1,IP Privada,1.0,0.000132,0.000447,44.0,64.0,72.0,0x7ade,0xc0,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
udp,UDP,130.104.228.159,2.0,191.112.0.1,"AS7418 - TELEFONICA CHILE S.A., CL",1.0,0.05074,0.004182,44.0,254.0,56.0,0x02d3,0xc0,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
udp,UDP,130.104.228.159,4.0,10.50.3.10,IP Privada,1.0,10.107443,0.005353,44.0,252.0,56.0,0x0023,0xc0,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
udp,UDP,130.104.228.159,7.0,5.53.3.176,"AS12956 - TELXIUS TELXIUS Cable, ES",1.0,30.173994,0.100334,44.0,250.0,56.0,0x0000,0x00,11.0,0.0,1.0,44.0,32.0,0x11, sockrxts replyttl 
udp,UDP,130.104.228.159,9.0,212.133.24.90,"AS3356 - LEVEL3, US",1.0,40.282088,0.214522,44.0,245.0,56.0,0x0000,0x00,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
udp,UDP,130.104.228.159,11.0,193.191.3.86,"AS2611 - BELNET, BE",1.0,50.501574,0.221395,44.0,50.0,72.0,0xef54,0x00,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
udp,UDP,130.104.228.159,16.0,130.104.228.159,"AS2611 - BELNET, BE",1.0,90.748147,0.219316,44.0,46.0,72.0,0x01a3,0x00,3.0,3.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
tcp,TCP,5.161.76.19,1.0,192.168.1.1,IP Privada,1.0,0.050185,0.000456,40.0,64.0,68.0,0x7ad3,0xc0,11.0,0.0,1.0,40.0,0.0,0x14, dlrxts replyttl 
tcp,TCP,5.161.76.19,2.0,191.112.0.1,"AS7418 - TELEFONICA CHILE S.A., CL",1.0,0.100796,0.004893,40.0,254.0,56.0,0x01f8,0xc0,11.0,0.0,1.0,44.0,0.0,0x14, dlrxts replyttl 
tcp,TCP,5.161.76.19,3.0,10.50.3.9,IP Privada,1.0,0.149818,0.012214,40.0,253.0,56.0,0x027d,0xc0,11.0,0.0,1.0,44.0,0.0,0x14, dlrxts replyttl 
tcp,TCP,5.161.76.19,4.0,10.50.3.22,IP Privada,1.0,0.200256,0.004143,40.0,252.0,56.0,0x0000,0x00,11.0,0.0,1.0,44.0,0.0,0x14, dlrxts replyttl 
tcp,TCP,5.161.76.19,9.0,62.115.120.176,"AS1299 - TWELVE99 Arelion, fka Telia Carrier, SE",1.0,40.256041,0.26682,40.0,245.0,168.0,0x478f,0x00,11.0,0.0,1.0,44.0,0.0,0x14, dlrxts replyttl 
tcp,TCP,5.161.76.19,10.0,62.115.123.125,"AS1299 - TWELVE99 Arelion, fka Telia Carrier, SE",1.0,40.522962,0.127282,40.0,248.0,96.0,0xc5f8,0x00,11.0,0.0,1.0,44.0,0.0,0x14, dlrxts replyttl 
tcp,TCP,5.161.76.19,11.0,62.115.56.201,"AS1299 - TWELVE99 Arelion, fka Telia Carrier, SE",1.0,40.650309,0.132849,40.0,245.0,56.0,0x0000,0x00,11.0,0.0,1.0,44.0,0.0,0x14, dlrxts replyttl 
tcp,TCP,5.161.76.19,12.0,5.161.0.82,"AS213230 - HETZNER-CLOUD2-AS, DE",1.0,40.783303,0.133143,40.0,244.0,56.0,0x0000,0x00,11.0,0.0,1.0,44.0,0.0,0x14, dlrxts replyttl 
tcp,TCP,5.161.76.19,14.0,5.161.9.171,"AS213230 - HETZNER-CLOUD2-AS, DE",1.0,50.917692,0.141414,40.0,51.0,72.0,0xe928,0x00,11.0,0.0,1.0,44.0,0.0,0x14, dlrxts replyttl 
udp,UDP,185.131.204.20,1.0,192.168.1.1,IP Privada,1.0,9.2e-05,0.000449,44.0,64.0,72.0,0x7acc,0xc0,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
udp,UDP,185.131.204.20,2.0,191.112.0.1,"AS7418 - TELEFONICA CHILE S.A., CL",1.0,0.050705,0.00436,44.0,254.0,56.0,0x03e8,0xc0,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
udp,UDP,185.131.204.20,3.0,10.50.3.21,IP Privada,2.0,5.10386,0.004987,44.0,253.0,56.0,0x03da,0xc0,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
udp,UDP,185.131.204.20,4.0,10.50.3.10,IP Privada,1.0,5.154068,0.004832,44.0,252.0,56.0,0x0261,0xc0,11.0,0.0,1.0,44.0,0.0,0x11, sockrxts replyttl 
