IP,Protocol,Total_Intentos,Respuestas,Porcentaje_Respuestas,Es_Bloqueante
10.50.3.10,ICMP,2,2,100.0,False
10.50.3.10,TCP,2,2,100.0,False
10.50.3.10,UDP,4,4,100.0,False
10.50.3.21,ICMP,1,1,100.0,False
10.50.3.21,TCP,3,3,100.0,False
10.50.3.21,UDP,2,2,100.0,False
10.50.3.22,ICMP,4,4,100.0,False
10.50.3.22,TCP,6,6,100.0,False
10.50.3.22,UDP,3,3,100.0,False
10.50.3.9,ICMP,7,7,100.0,False
10.50.3.9,TCP,5,5,100.0,False
10.50.3.9,UDP,2,2,100.0,False
130.104.228.159,ICMP,2,2,100.0,False
130.104.228.159,UDP,2,2,100.0,False
171.75.8.23,ICMP,2,2,100.0,False
171.75.8.23,TCP,2,2,100.0,False
171.75.8.23,UDP,1,1,100.0,False
176.52.248.55,TCP,1,1,100.0,False
176.52.248.55,UDP,1,1,100.0,False
185.131.204.20,ICMP,1,1,100.0,False
185.131.204.20,UDP,2,2,100.0,False
191.112.0.1,ICMP,8,8,100.0,False
191.112.0.1,TCP,8,8,100.0,False
191.112.0.1,UDP,8,8,100.0,False
192.168.1.1,ICMP,8,8,100.0,False
192.168.1.1,TCP,8,8,100.0,False
192.168.1.1,UDP,8,8,100.0,False
193.191.3.86,ICMP,2,2,100.0,False
193.191.3.86,TCP,1,1,100.0,False
193.191.3.86,UDP,2,2,100.0,False
212.133.24.90,ICMP,2,2,100.0,False
212.133.24.90,TCP,2,2,100.0,False
212.133.24.90,UDP,2,2,100.0,False
212.161.150.165,ICMP,1,1,100.0,False
212.161.150.165,UDP,2,2,100.0,False
213.140.39.160,ICMP,1,1,100.0,False
213.140.39.160,UDP,2,2,100.0,False
213.140.43.206,TCP,1,1,100.0,False
213.140.43.206,UDP,2,2,100.0,False
213.140.43.234,ICMP,1,1,100.0,False
213.140.43.234,TCP,1,1,100.0,False
213.140.43.234,UDP,3,3,100.0,False
213.46.186.17,UDP,2,2,100.0,False
5.161.0.74,TCP,1,1,100.0,False
5.161.0.82,TCP,1,1,100.0,False
5.161.0.82,UDP,1,1,100.0,False
5.161.0.86,ICMP,1,1,100.0,False
5.161.0.86,UDP,1,1,100.0,False
5.161.9.171,ICMP,1,1,100.0,False
5.161.9.171,TCP,2,2,100.0,False
5.161.9.171,UDP,2,2,100.0,False
5.53.0.144,ICMP,2,2,100.0,False
5.53.0.144,TCP,2,2,100.0,False
5.53.3.176,UDP,1,1,100.0,False
62.115.112.69,UDP,1,1,100.0,False
62.115.112.71,ICMP,2,2,100.0,False
62.115.112.71,TCP,2,2,100.0,False
62.115.112.71,UDP,1,1,100.0,False
62.115.119.230,TCP,1,1,100.0,False
62.115.119.230,UDP,1,1,100.0,False
62.115.120.176,ICMP,3,3,100.0,False
62.115.120.176,TCP,3,3,100.0,False
62.115.120.176,UDP,3,3,100.0,False
62.115.123.123,TCP,1,1,100.0,False
62.115.123.125,ICMP,1,1,100.0,False
62.115.123.125,TCP,1,1,100.0,False
62.115.123.125,UDP,2,2,100.0,False
62.115.136.200,ICMP,1,1,100.0,False
62.115.136.200,TCP,2,2,100.0,False
62.115.136.200,UDP,1,1,100.0,False
62.115.149.65,TCP,1,1,100.0,False
62.115.56.201,ICMP,1,1,100.0,False
62.115.56.201,TCP,1,1,100.0,False
62.115.56.201,UDP,2,2,100.0,False
62.115.57.79,ICMP,2,2,100.0,False
62.115.57.79,TCP,2,2,100.0,False
62.115.57.79,UDP,2,2,100.0,False
62.216.128.210,ICMP,2,2,100.0,False
62.216.128.210,UDP,1,1,100.0,False
62.216.128.214,TCP,2,2,100.0,False
62.216.128.214,UDP,1,1,100.0,False
62.216.129.134,TCP,1,1,100.0,False
62.216.129.134,UDP,1,1,100.0,False
62.216.131.30,ICMP,2,2,100.0,False
62.216.131.30,UDP,1,1,100.0,False
62.216.134.210,TCP,1,1,100.0,False
80.77.4.60,ICMP,2,2,100.0,False
80.77.4.60,UDP,2,2,100.0,False
84.116.132.177,ICMP,1,1,100.0,False
84.116.132.177,UDP,2,2,100.0,False
84.20.39.214,ICMP,1,1,100.0,False
84.20.39.214,UDP,2,2,100.0,False
84.20.40.252,ICMP,1,1,100.0,False
84.20.40.252,UDP,2,2,100.0,False
85.95.25.93,ICMP,2,2,100.0,False
85.95.25.93,UDP,1,1,100.0,False
85.95.26.161,TCP,2,2,100.0,False
85.95.26.161,UDP,1,1,100.0,False
85.95.26.166,TCP,1,1,100.0,False
85.95.26.166,UDP,2,2,100.0,False
85.95.26.222,ICMP,2,2,100.0,False
85.95.26.222,TCP,1,1,100.0,False
94.142.107.213,ICMP,1,1,100.0,False
94.142.107.213,UDP,1,1,100.0,False
