IP,Protocol,Total_Intentos,Respuestas,Porcentaje_Respuestas,Es_Bloqueante
10.50.3.10,ICMP,1,1,100.0,False
10.50.3.21,ICMP,1,1,100.0,False
10.50.3.22,ICMP,2,2,100.0,False
10.50.3.9,ICMP,3,3,100.0,False
130.104.228.159,ICMP,1,1,100.0,False
171.75.8.23,ICMP,1,1,100.0,False
185.131.204.20,ICMP,1,1,100.0,False
191.112.0.1,ICMP,4,4,100.0,False
192.168.1.1,ICMP,4,4,100.0,False
193.191.3.86,ICMP,1,1,100.0,False
212.133.24.90,ICMP,1,1,100.0,False
212.161.150.165,ICMP,1,1,100.0,False
213.140.43.234,ICMP,1,1,100.0,False
5.53.0.144,ICMP,1,1,100.0,False
62.115.112.71,ICMP,1,1,100.0,False
62.115.120.176,ICMP,1,1,100.0,False
62.115.136.200,ICMP,1,1,100.0,False
62.115.57.79,ICMP,1,1,100.0,False
62.216.128.210,ICMP,1,1,100.0,False
62.216.131.30,ICMP,1,1,100.0,False
80.77.4.60,ICMP,1,1,100.0,False
84.116.132.177,ICMP,1,1,100.0,False
84.20.39.214,ICMP,1,1,100.0,False
84.20.40.252,ICMP,1,1,100.0,False
85.95.25.93,ICMP,1,1,100.0,False
85.95.26.222,ICMP,1,1,100.0,False
