IP,Protocol,Total_Intentos,Respuestas,Porcentaje_Respuestas,Es_Bloqueante
10.50.3.10,TCP,2,2,100.0,False
10.50.3.21,TCP,1,1,100.0,False
10.50.3.22,TCP,2,2,100.0,False
10.50.3.9,TCP,3,3,100.0,False
171.75.8.23,TCP,1,1,100.0,False
176.52.248.55,TCP,1,1,100.0,False
191.112.0.1,TCP,4,4,100.0,False
192.168.1.1,TCP,4,4,100.0,False
193.191.3.86,TCP,1,1,100.0,False
212.133.24.90,TCP,1,1,100.0,False
5.161.0.82,TCP,1,1,100.0,False
5.161.9.171,TCP,1,1,100.0,False
62.115.112.71,TCP,1,1,100.0,False
62.115.120.176,TCP,2,2,100.0,False
62.115.123.125,TCP,1,1,100.0,False
62.115.136.200,TCP,1,1,100.0,False
62.115.56.201,TCP,1,1,100.0,False
62.115.57.79,TCP,1,1,100.0,False
62.216.128.214,TCP,1,1,100.0,False
62.216.129.134,TCP,1,1,100.0,False
85.95.26.161,TCP,1,1,100.0,False
85.95.26.166,TCP,1,1,100.0,False
