probe_size,start_time,src,node_ttl,tos,dst,reply_icmp_code,reply_ipid,link_count,probe_sent_sec,node_link_count,hop_addr,attempts,node_addr,reply_rtt,gaplimit,method,confidence,probe_attempt,probe_sent_usec,reply_icmp_type,probe_flowid,wait_timeout,reply_ttl,probe_ttl,node_count
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,36,3,1733576343,1,191.112.0.1,2,192.168.1.1,4.693,3,tcp-sport,95,0,846061,11,36780,5,254,2,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,48,3,1733576344,1,191.112.0.1,2,192.168.1.1,4.656,3,tcp-sport,95,0,96459,11,36781,5,254,2,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,58,3,1733576344,1,191.112.0.1,2,192.168.1.1,7.856,3,tcp-sport,95,0,347068,11,36782,5,254,2,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,67,3,1733576344,1,191.112.0.1,2,192.168.1.1,4.096,3,tcp-sport,95,0,597250,11,36783,5,254,2,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,74,3,1733576344,1,191.112.0.1,2,192.168.1.1,4.705,3,tcp-sport,95,0,847342,11,36784,5,254,2,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,82,3,1733576345,1,191.112.0.1,2,192.168.1.1,5.052,3,tcp-sport,95,0,97352,11,36785,5,254,2,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,594,3,1733576345,1,10.50.3.9,2,191.112.0.1,3.71,3,tcp-sport,95,0,347948,11,36780,5,253,3,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,391,3,1733576345,1,10.50.3.9,2,191.112.0.1,3.991,3,tcp-sport,95,0,598877,11,36781,5,253,3,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,887,3,1733576346,1,10.50.3.9,2,191.112.0.1,7.482,3,tcp-sport,95,0,600872,11,36785,5,253,3,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,933,3,1733576346,1,10.50.3.9,2,191.112.0.1,6.058,3,tcp-sport,95,0,851732,11,36786,5,253,3,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,723,3,1733576347,1,10.50.3.9,2,191.112.0.1,3.641,3,tcp-sport,95,0,102175,11,36787,5,253,3,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,774,3,1733576347,1,10.50.3.9,2,191.112.0.1,4.275,3,tcp-sport,95,0,352602,11,36788,5,253,3,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,713,3,1733576345,1,10.50.3.21,2,191.112.0.1,5.767,3,tcp-sport,95,0,849253,11,36782,5,253,3,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,248,3,1733576346,1,10.50.3.21,2,191.112.0.1,4.76,3,tcp-sport,95,0,99351,11,36783,5,253,3,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,560,3,1733576346,1,10.50.3.21,2,191.112.0.1,4.103,3,tcp-sport,95,0,349866,11,36784,5,253,3,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,48,3,1733576347,1,10.50.3.21,2,191.112.0.1,4.376,3,tcp-sport,95,0,602700,11,36789,5,253,3,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,916,3,1733576347,1,10.50.3.21,2,191.112.0.1,4.475,3,tcp-sport,95,0,853517,11,36790,5,253,3,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,215,3,1733576348,1,10.50.3.21,2,191.112.0.1,3.34,3,tcp-sport,95,0,104456,11,36780,5,253,3,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,0,3,1733576348,1,10.50.3.22,2,191.112.0.1,4.477,3,tcp-sport,95,0,354575,11,36780,5,252,4,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,0,3,1733576348,1,10.50.3.22,2,191.112.0.1,4.431,3,tcp-sport,95,0,605524,11,36781,5,252,4,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,0,3,1733576348,1,10.50.3.22,2,191.112.0.1,4.099,3,tcp-sport,95,0,856407,11,36782,5,252,4,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,0,3,1733576349,1,10.50.3.22,2,191.112.0.1,4.33,3,tcp-sport,95,0,107092,11,36783,5,252,4,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,0,3,1733576349,1,10.50.3.22,2,191.112.0.1,3.967,3,tcp-sport,95,0,357495,11,36784,5,252,4,3
40,2024-12-07 09:59:03,192.168.1.27,1,0,185.131.204.20,0,0,3,1733576349,1,10.50.3.22,2,191.112.0.1,4.418,3,tcp-sport,95,0,608592,11,36785,5,252,4,3
