sport,wait_timeout,node_ttl,probe_size,reply_icmp_type,reply_icmp_code,reply_ipid,tos,node_link_count,proto,probe_sent_usec,probe_flowid,probe_attempt,reply_ttl,method,probe_sent_sec,stime,dst,hop_addr,probe_ttl,node_addr,dport,link_count,gaplimit,src,node_count,attempts,reply_rtt,confidence
36780,5,1,40,11,0,36,0,1,N/A,846061,36780,0,254,tcp-sport,1733576343,2024-12-07 09:59:03,185.131.204.20,191.112.0.1,2,192.168.1.1,33435,3,3,192.168.1.27,3,2,4.693,95
36780,5,1,40,11,0,48,0,1,N/A,96459,36781,0,254,tcp-sport,1733576344,2024-12-07 09:59:03,185.131.204.20,191.112.0.1,2,192.168.1.1,33435,3,3,192.168.1.27,3,2,4.656,95
36780,5,1,40,11,0,58,0,1,N/A,347068,36782,0,254,tcp-sport,1733576344,2024-12-07 09:59:03,185.131.204.20,191.112.0.1,2,192.168.1.1,33435,3,3,192.168.1.27,3,2,7.856,95
36780,5,1,40,11,0,67,0,1,N/A,597250,36783,0,254,tcp-sport,1733576344,2024-12-07 09:59:03,185.131.204.20,191.112.0.1,2,192.168.1.1,33435,3,3,192.168.1.27,3,2,4.096,95
36780,5,1,40,11,0,74,0,1,N/A,847342,36784,0,254,tcp-sport,1733576344,2024-12-07 09:59:03,185.131.204.20,191.112.0.1,2,192.168.1.1,33435,3,3,192.168.1.27,3,2,4.705,95
36780,5,1,40,11,0,82,0,1,N/A,97352,36785,0,254,tcp-sport,1733576345,2024-12-07 09:59:03,185.131.204.20,191.112.0.1,2,192.168.1.1,33435,3,3,192.168.1.27,3,2,5.052,95
36780,5,1,40,11,0,594,0,1,N/A,347948,36780,0,253,tcp-sport,1733576345,2024-12-07 09:59:03,185.131.204.20,10.50.3.9,3,191.112.0.1,33435,3,3,192.168.1.27,3,2,3.71,95
36780,5,1,40,11,0,391,0,1,N/A,598877,36781,0,253,tcp-sport,1733576345,2024-12-07 09:59:03,185.131.204.20,10.50.3.9,3,191.112.0.1,33435,3,3,192.168.1.27,3,2,3.991,95
36780,5,1,40,11,0,887,0,1,N/A,600872,36785,0,253,tcp-sport,1733576346,2024-12-07 09:59:03,185.131.204.20,10.50.3.9,3,191.112.0.1,33435,3,3,192.168.1.27,3,2,7.482,95
36780,5,1,40,11,0,933,0,1,N/A,851732,36786,0,253,tcp-sport,1733576346,2024-12-07 09:59:03,185.131.204.20,10.50.3.9,3,191.112.0.1,33435,3,3,192.168.1.27,3,2,6.058,95
36780,5,1,40,11,0,723,0,1,N/A,102175,36787,0,253,tcp-sport,1733576347,2024-12-07 09:59:03,185.131.204.20,10.50.3.9,3,191.112.0.1,33435,3,3,192.168.1.27,3,2,3.641,95
36780,5,1,40,11,0,774,0,1,N/A,352602,36788,0,253,tcp-sport,1733576347,2024-12-07 09:59:03,185.131.204.20,10.50.3.9,3,191.112.0.1,33435,3,3,192.168.1.27,3,2,4.275,95
36780,5,1,40,11,0,713,0,1,N/A,849253,36782,0,253,tcp-sport,1733576345,2024-12-07 09:59:03,185.131.204.20,10.50.3.21,3,191.112.0.1,33435,3,3,192.168.1.27,3,2,5.767,95
36780,5,1,40,11,0,248,0,1,N/A,99351,36783,0,253,tcp-sport,1733576346,2024-12-07 09:59:03,185.131.204.20,10.50.3.21,3,191.112.0.1,33435,3,3,192.168.1.27,3,2,4.76,95
36780,5,1,40,11,0,560,0,1,N/A,349866,36784,0,253,tcp-sport,1733576346,2024-12-07 09:59:03,185.131.204.20,10.50.3.21,3,191.112.0.1,33435,3,3,192.168.1.27,3,2,4.103,95
36780,5,1,40,11,0,48,0,1,N/A,602700,36789,0,253,tcp-sport,1733576347,2024-12-07 09:59:03,185.131.204.20,10.50.3.21,3,191.112.0.1,33435,3,3,192.168.1.27,3,2,4.376,95
36780,5,1,40,11,0,916,0,1,N/A,853517,36790,0,253,tcp-sport,1733576347,2024-12-07 09:59:03,185.131.204.20,10.50.3.21,3,191.112.0.1,33435,3,3,192.168.1.27,3,2,4.475,95
36780,5,1,40,11,0,215,0,1,N/A,104456,36780,0,253,tcp-sport,1733576348,2024-12-07 09:59:03,185.131.204.20,10.50.3.21,3,191.112.0.1,33435,3,3,192.168.1.27,3,2,3.34,95
36780,5,1,40,11,0,0,0,1,N/A,354575,36780,0,252,tcp-sport,1733576348,2024-12-07 09:59:03,185.131.204.20,10.50.3.22,4,191.112.0.1,33435,3,3,192.168.1.27,3,2,4.477,95
36780,5,1,40,11,0,0,0,1,N/A,605524,36781,0,252,tcp-sport,1733576348,2024-12-07 09:59:03,185.131.204.20,10.50.3.22,4,191.112.0.1,33435,3,3,192.168.1.27,3,2,4.431,95
36780,5,1,40,11,0,0,0,1,N/A,856407,36782,0,252,tcp-sport,1733576348,2024-12-07 09:59:03,185.131.204.20,10.50.3.22,4,191.112.0.1,33435,3,3,192.168.1.27,3,2,4.099,95
36780,5,1,40,11,0,0,0,1,N/A,107092,36783,0,252,tcp-sport,1733576349,2024-12-07 09:59:03,185.131.204.20,10.50.3.22,4,191.112.0.1,33435,3,3,192.168.1.27,3,2,4.33,95
36780,5,1,40,11,0,0,0,1,N/A,357495,36784,0,252,tcp-sport,1733576349,2024-12-07 09:59:03,185.131.204.20,10.50.3.22,4,191.112.0.1,33435,3,3,192.168.1.27,3,2,3.967,95
36780,5,1,40,11,0,0,0,1,N/A,608592,36785,0,252,tcp-sport,1733576349,2024-12-07 09:59:03,185.131.204.20,10.50.3.22,4,191.112.0.1,33435,3,3,192.168.1.27,3,2,4.418,95
36780,5,1,40,11,0,9158,0,1,N/A,859351,36780,0,250,tcp-sport,1733576349,2024-12-07 09:59:03,185.131.204.20,5.53.0.144,5,10.50.3.22,33435,3,3,192.168.1.27,3,2,5.355,95
36780,5,1,40,11,0,21116,0,1,N/A,113314,36784,0,250,tcp-sport,1733576380,2024-12-07 09:59:03,185.131.204.20,5.53.0.144,5,10.50.3.22,33435,3,3,192.168.1.27,3,2,4.703,95
N/A,5,1,44,11,0,798,0,1,N/A,549377,1,0,254,icmp-echo,1733576557,2024-12-07 10:02:37,5.161.76.19,191.112.0.1,2,192.168.1.1,N/A,3,3,192.168.1.27,3,2,5.461,95
N/A,5,1,44,11,0,801,0,1,N/A,800130,2,0,254,icmp-echo,1733576557,2024-12-07 10:02:37,5.161.76.19,191.112.0.1,2,192.168.1.1,N/A,3,3,192.168.1.27,3,2,4.341,95
N/A,5,1,44,11,0,803,0,1,N/A,50850,3,0,254,icmp-echo,1733576558,2024-12-07 10:02:37,5.161.76.19,191.112.0.1,2,192.168.1.1,N/A,3,3,192.168.1.27,3,2,4.746,95
N/A,5,1,44,11,0,805,0,1,N/A,300951,4,0,254,icmp-echo,1733576558,2024-12-07 10:02:37,5.161.76.19,191.112.0.1,2,192.168.1.1,N/A,3,3,192.168.1.27,3,2,4.997,95
N/A,5,1,44,11,0,806,0,1,N/A,551149,5,0,254,icmp-echo,1733576558,2024-12-07 10:02:37,5.161.76.19,191.112.0.1,2,192.168.1.1,N/A,3,3,192.168.1.27,3,2,5.656,95
N/A,5,1,44,11,0,807,0,1,N/A,802126,6,0,254,icmp-echo,1733576558,2024-12-07 10:02:37,5.161.76.19,191.112.0.1,2,192.168.1.1,N/A,3,3,192.168.1.27,3,2,4.111,95
N/A,5,1,44,11,0,770,0,1,N/A,52642,1,0,253,icmp-echo,1733576559,2024-12-07 10:02:37,5.161.76.19,10.50.3.9,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,3.927,95
N/A,5,1,44,11,0,903,0,1,N/A,552936,3,0,253,icmp-echo,1733576559,2024-12-07 10:02:37,5.161.76.19,10.50.3.9,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,3.106,95
N/A,5,1,44,11,0,53,0,1,N/A,304923,6,0,253,icmp-echo,1733576560,2024-12-07 10:02:37,5.161.76.19,10.50.3.9,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,3.752,95
N/A,5,1,44,11,0,108,0,1,N/A,555033,7,0,253,icmp-echo,1733576560,2024-12-07 10:02:37,5.161.76.19,10.50.3.9,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,3.995,95
N/A,5,1,44,11,0,172,0,1,N/A,805418,8,0,253,icmp-echo,1733576560,2024-12-07 10:02:37,5.161.76.19,10.50.3.9,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,4.174,95
N/A,5,1,44,11,0,344,0,1,N/A,557098,11,0,253,icmp-echo,1733576561,2024-12-07 10:02:37,5.161.76.19,10.50.3.9,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,4.034,95
N/A,5,1,44,11,0,828,0,1,N/A,302919,2,0,253,icmp-echo,1733576559,2024-12-07 10:02:37,5.161.76.19,10.50.3.21,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,3.814,95
N/A,5,1,44,11,0,955,0,1,N/A,803479,4,0,253,icmp-echo,1733576559,2024-12-07 10:02:37,5.161.76.19,10.50.3.21,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,4.213,95
N/A,5,1,44,11,0,1016,0,1,N/A,54074,5,0,253,icmp-echo,1733576560,2024-12-07 10:02:37,5.161.76.19,10.50.3.21,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,4.389,95
N/A,5,1,44,11,0,229,0,1,N/A,56022,9,0,253,icmp-echo,1733576561,2024-12-07 10:02:37,5.161.76.19,10.50.3.21,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,4.258,95
N/A,5,1,44,11,0,288,0,1,N/A,306725,10,0,253,icmp-echo,1733576561,2024-12-07 10:02:37,5.161.76.19,10.50.3.21,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,3.965,95
N/A,5,1,44,11,0,409,0,1,N/A,807547,1,0,253,icmp-echo,1733576561,2024-12-07 10:02:37,5.161.76.19,10.50.3.21,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,3.63,95
N/A,5,1,44,11,0,13,0,1,N/A,58502,1,0,252,icmp-echo,1733576562,2024-12-07 10:02:37,5.161.76.19,10.50.3.10,4,191.112.0.1,N/A,3,3,192.168.1.27,3,2,4.439,95
N/A,5,1,44,11,0,84,0,1,N/A,309384,2,0,252,icmp-echo,1733576562,2024-12-07 10:02:37,5.161.76.19,10.50.3.10,4,191.112.0.1,N/A,3,3,192.168.1.27,3,2,4.577,95
N/A,5,1,44,11,0,161,0,1,N/A,560143,3,0,252,icmp-echo,1733576562,2024-12-07 10:02:37,5.161.76.19,10.50.3.10,4,191.112.0.1,N/A,3,3,192.168.1.27,3,2,3.836,95
N/A,5,1,44,11,0,227,0,1,N/A,810342,4,0,252,icmp-echo,1733576562,2024-12-07 10:02:37,5.161.76.19,10.50.3.10,4,191.112.0.1,N/A,3,3,192.168.1.27,3,2,4.577,95
N/A,5,1,44,11,0,296,0,1,N/A,61196,5,0,252,icmp-echo,1733576563,2024-12-07 10:02:37,5.161.76.19,10.50.3.10,4,191.112.0.1,N/A,3,3,192.168.1.27,3,2,3.77,95
N/A,5,1,44,11,0,355,0,1,N/A,312171,6,0,252,icmp-echo,1733576563,2024-12-07 10:02:37,5.161.76.19,10.50.3.10,4,191.112.0.1,N/A,3,3,192.168.1.27,3,2,4.262,95
N/A,5,1,44,11,0,0,0,1,N/A,570071,2,0,250,icmp-echo,1733576573,2024-12-07 10:02:37,5.161.76.19,213.140.39.160,5,10.50.3.10,N/A,3,3,192.168.1.27,3,2,6.56,95
N/A,5,1,44,11,0,200,0,1,N/A,941491,1,0,254,icmp-echo,1733576137,2024-12-07 09:55:37,185.131.204.20,191.112.0.1,2,192.168.1.1,N/A,3,3,192.168.1.27,3,2,6.106,95
N/A,5,1,44,11,0,202,0,1,N/A,191958,2,0,254,icmp-echo,1733576138,2024-12-07 09:55:37,185.131.204.20,191.112.0.1,2,192.168.1.1,N/A,3,3,192.168.1.27,3,2,4.26,95
N/A,5,1,44,11,0,203,0,1,N/A,442570,3,0,254,icmp-echo,1733576138,2024-12-07 09:55:37,185.131.204.20,191.112.0.1,2,192.168.1.1,N/A,3,3,192.168.1.27,3,2,4.719,95
N/A,5,1,44,11,0,205,0,1,N/A,692598,4,0,254,icmp-echo,1733576138,2024-12-07 09:55:37,185.131.204.20,191.112.0.1,2,192.168.1.1,N/A,3,3,192.168.1.27,3,2,6.197,95
N/A,5,1,44,11,0,206,0,1,N/A,943163,5,0,254,icmp-echo,1733576138,2024-12-07 09:55:37,185.131.204.20,191.112.0.1,2,192.168.1.1,N/A,3,3,192.168.1.27,3,2,4.494,95
N/A,5,1,44,11,0,207,0,1,N/A,194006,6,0,254,icmp-echo,1733576139,2024-12-07 09:55:37,185.131.204.20,191.112.0.1,2,192.168.1.1,N/A,3,3,192.168.1.27,3,2,4.107,95
N/A,5,1,44,11,0,582,0,1,N/A,946316,3,0,253,icmp-echo,1733576139,2024-12-07 09:55:37,185.131.204.20,10.50.3.9,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,3.46,95
N/A,5,1,44,11,0,627,0,1,N/A,197128,4,0,253,icmp-echo,1733576140,2024-12-07 09:55:37,185.131.204.20,10.50.3.9,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,4.37,95
N/A,5,1,44,11,0,729,0,1,N/A,698170,6,0,253,icmp-echo,1733576140,2024-12-07 09:55:37,185.131.204.20,10.50.3.9,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,4.04,95
N/A,5,1,44,11,0,791,0,1,N/A,948555,7,0,253,icmp-echo,1733576140,2024-12-07 09:55:37,185.131.204.20,10.50.3.9,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,3.274,95
N/A,5,1,44,11,0,842,0,1,N/A,199187,8,0,253,icmp-echo,1733576141,2024-12-07 09:55:37,185.131.204.20,10.50.3.9,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,4.102,95
N/A,5,1,44,11,0,892,0,1,N/A,449648,9,0,253,icmp-echo,1733576141,2024-12-07 09:55:37,185.131.204.20,10.50.3.9,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,3.085,95
N/A,5,1,44,11,0,947,0,1,N/A,700062,10,0,253,icmp-echo,1733576141,2024-12-07 09:55:37,185.131.204.20,10.50.3.9,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,4.172,95
N/A,5,1,44,11,0,991,0,1,N/A,950597,11,0,253,icmp-echo,1733576141,2024-12-07 09:55:37,185.131.204.20,10.50.3.9,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,3.147,95
N/A,5,1,44,11,0,489,0,1,N/A,444461,1,0,253,icmp-echo,1733576139,2024-12-07 09:55:37,185.131.204.20,10.50.3.21,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,4.554,95
N/A,5,1,44,11,0,534,0,1,N/A,695393,2,0,253,icmp-echo,1733576139,2024-12-07 09:55:37,185.131.204.20,10.50.3.21,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,3.553,95
N/A,5,1,44,11,0,684,0,1,N/A,447842,5,0,253,icmp-echo,1733576140,2024-12-07 09:55:37,185.131.204.20,10.50.3.21,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,2.979,95
N/A,5,1,44,11,0,23,0,1,N/A,201125,3,0,253,icmp-echo,1733576142,2024-12-07 09:55:37,185.131.204.20,10.50.3.21,3,191.112.0.1,N/A,3,3,192.168.1.27,3,2,4.32,95
N/A,5,1,44,11,0,849,0,1,N/A,451814,1,0,252,icmp-echo,1733576142,2024-12-07 09:55:37,185.131.204.20,10.50.3.10,4,191.112.0.1,N/A,3,3,192.168.1.27,3,2,4.585,95
N/A,5,1,44,11,0,901,0,1,N/A,702789,2,0,252,icmp-echo,1733576142,2024-12-07 09:55:37,185.131.204.20,10.50.3.10,4,191.112.0.1,N/A,3,3,192.168.1.27,3,2,3.854,95
N/A,5,1,44,11,0,979,0,1,N/A,952934,3,0,252,icmp-echo,1733576142,2024-12-07 09:55:37,185.131.204.20,10.50.3.10,4,191.112.0.1,N/A,3,3,192.168.1.27,3,2,5.528,95
N/A,5,1,44,11,0,27,0,1,N/A,203809,4,0,252,icmp-echo,1733576143,2024-12-07 09:55:37,185.131.204.20,10.50.3.10,4,191.112.0.1,N/A,3,3,192.168.1.27,3,2,3.73,95
N/A,5,1,44,11,0,96,0,1,N/A,453903,5,0,252,icmp-echo,1733576143,2024-12-07 09:55:37,185.131.204.20,10.50.3.10,4,191.112.0.1,N/A,3,3,192.168.1.27,3,2,3.778,95
N/A,5,1,44,11,0,150,0,1,N/A,703986,6,0,252,icmp-echo,1733576143,2024-12-07 09:55:37,185.131.204.20,10.50.3.10,4,191.112.0.1,N/A,3,3,192.168.1.27,3,2,4.174,95
N/A,5,1,44,11,0,0,0,1,N/A,958564,1,1,250,icmp-echo,1733576148,2024-12-07 09:55:37,185.131.204.20,213.140.39.160,5,10.50.3.10,N/A,3,3,192.168.1.27,3,2,6.205,95
N/A,5,1,44,11,0,0,0,1,N/A,217087,3,0,250,icmp-echo,1733576159,2024-12-07 09:55:37,185.131.204.20,213.140.39.160,5,10.50.3.10,N/A,3,3,192.168.1.27,3,2,6.264,95
N/A,5,1,44,11,0,0,0,1,N/A,471075,4,1,250,icmp-echo,1733576164,2024-12-07 09:55:37,185.131.204.20,213.140.39.160,5,10.50.3.10,N/A,3,3,192.168.1.27,3,2,6.386,95
N/A,5,1,44,11,0,0,0,1,N/A,721856,5,0,250,icmp-echo,1733576164,2024-12-07 09:55:37,185.131.204.20,213.140.39.160,5,10.50.3.10,N/A,3,3,192.168.1.27,3,2,6.59,95
N/A,5,1,44,11,0,0,0,1,N/A,976097,6,1,250,icmp-echo,1733576169,2024-12-07 09:55:37,185.131.204.20,213.140.39.160,5,10.50.3.10,N/A,3,3,192.168.1.27,3,2,5.981,95
64118,5,1,40,11,0,69,0,1,N/A,924069,64118,0,254,tcp-sport,1733575814,2024-12-07 09:50:14,130.104.228.159,191.112.0.1,2,192.168.1.1,33435,2,3,192.168.1.27,2,2,5.132,95
64118,5,1,40,11,0,72,0,1,N/A,174778,64119,0,254,tcp-sport,1733575815,2024-12-07 09:50:14,130.104.228.159,191.112.0.1,2,192.168.1.1,33435,2,3,192.168.1.27,2,2,4.535,95
64118,5,1,40,11,0,73,0,1,N/A,425444,64120,0,254,tcp-sport,1733575815,2024-12-07 09:50:14,130.104.228.159,191.112.0.1,2,192.168.1.1,33435,2,3,192.168.1.27,2,2,4.502,95
64118,5,1,40,11,0,80,0,1,N/A,676448,64121,0,254,tcp-sport,1733575815,2024-12-07 09:50:14,130.104.228.159,191.112.0.1,2,192.168.1.1,33435,2,3,192.168.1.27,2,2,4.862,95
64118,5,1,40,11,0,84,0,1,N/A,926633,64122,0,254,tcp-sport,1733575815,2024-12-07 09:50:14,130.104.228.159,191.112.0.1,2,192.168.1.1,33435,2,3,192.168.1.27,2,2,4.807,95
64118,5,1,40,11,0,86,0,1,N/A,176748,64123,0,254,tcp-sport,1733575816,2024-12-07 09:50:14,130.104.228.159,191.112.0.1,2,192.168.1.1,33435,2,3,192.168.1.27,2,2,4.764,95
64118,5,1,40,11,0,750,0,1,N/A,677886,64119,0,253,tcp-sport,1733575816,2024-12-07 09:50:14,130.104.228.159,10.50.3.9,3,191.112.0.1,33435,2,3,192.168.1.27,2,2,4.63,95
