src,dst,stime,method,proto,sport,dport,node_addr,hop_addr,probe_ttl,probe_attempt,probe_rtt,probe_retransmit,probe_sent_ttl,probe_sent_size,reply_rtt,reply_ttl,reply_ipid,reply_icmp_type,reply_icmp_code
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.513,254,673,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.524,254,674,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,8.264,254,694,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.996,254,695,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,11.497,254,696,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,5.056,254,697,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.703,253,99,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.204,253,635,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.952,253,64,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.151,253,644,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.385,253,349,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.107,253,233,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.747,253,797,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.158,253,851,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.703,253,896,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.43,253,948,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,191.112.0.1,10.50.3.21,3,1,N/A,N/A,N/A,N/A,17.103,253,251,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.515,253,782,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,191.112.0.1,10.50.3.21,3,1,N/A,N/A,N/A,N/A,4.447,253,923,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.412,253,112,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.614,253,8,11,0
192.168.1.27,130.104.228.159,N/A,udp-dport,N/A,62062,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.611,253,1001,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,5.461,254,798,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.341,254,801,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.746,254,803,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.997,254,805,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,5.656,254,806,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.111,254,807,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.927,253,770,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.106,253,903,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.752,253,53,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.995,253,108,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.174,253,172,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.034,253,344,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.814,253,828,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.213,253,955,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.389,253,1016,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.258,253,229,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.965,253,288,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.63,253,409,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.439,252,13,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.577,252,84,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,3.836,252,161,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.577,252,227,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,3.77,252,296,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.262,252,355,11,0
192.168.1.27,5.161.76.19,N/A,icmp-echo,N/A,N/A,N/A,10.50.3.10,213.140.39.160,5,0,N/A,N/A,N/A,N/A,6.56,250,0,11,0
192.168.1.27,80.77.4.60,N/A,udp-dport,N/A,46370,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,5.01,254,903,11,0
192.168.1.27,80.77.4.60,N/A,udp-dport,N/A,46370,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.748,254,910,11,0
192.168.1.27,80.77.4.60,N/A,udp-dport,N/A,46370,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,11.326,254,921,11,0
192.168.1.27,80.77.4.60,N/A,udp-dport,N/A,46370,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,3.836,254,932,11,0
192.168.1.27,80.77.4.60,N/A,udp-dport,N/A,46370,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.247,254,946,11,0
192.168.1.27,80.77.4.60,N/A,udp-dport,N/A,46370,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.174,254,954,11,0
192.168.1.27,80.77.4.60,N/A,udp-dport,N/A,46370,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,24.988,253,84,11,0
