src,dst,stime,method,proto,sport,dport,node_addr,hop_addr,probe_ttl,probe_attempt,probe_rtt,probe_retransmit,probe_sent_ttl,probe_sent_size,reply_rtt,reply_ttl,reply_ipid,reply_icmp_type,reply_icmp_code
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.381,254,916,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.672,254,923,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.399,254,931,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.603,254,938,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.887,254,948,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.216,254,953,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.388,253,244,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.834,253,315,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.182,253,370,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.267,253,415,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.507,253,468,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.81,253,856,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.29,253,805,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.22,253,871,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.164,253,941,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.833,253,997,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.475,253,28,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.684,253,89,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.12,253,173,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.344,253,878,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.871,253,964,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.861,253,898,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.683,253,746,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,10.50.3.21,10.50.3.10,4,0,N/A,N/A,N/A,N/A,3.73,252,656,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,10.50.3.21,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.588,252,695,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,10.50.3.21,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.426,252,737,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,10.50.3.21,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.248,252,32,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,10.50.3.21,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.336,252,195,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,10.50.3.21,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.211,252,316,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,10.50.3.21,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.591,252,690,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,10.50.3.21,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.645,252,595,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,10.50.3.21,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.83,252,724,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,10.50.3.21,10.50.3.10,4,0,N/A,N/A,N/A,N/A,2.145,252,778,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,10.50.3.21,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.653,252,857,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,10.50.3.21,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.454,252,933,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,10.50.3.21,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.553,252,988,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,10.50.3.21,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.258,252,32,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,10.50.3.21,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.56,252,106,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,10.50.3.21,10.50.3.22,4,0,N/A,N/A,N/A,N/A,5.05,252,0,11,0
192.168.1.27,185.131.204.20,N/A,tcp-ack-sport,N/A,37654,33435,10.50.3.21,10.50.3.22,4,0,N/A,N/A,N/A,N/A,4.572,252,0,11,0
