src,dst,stime,method,proto,sport,dport,node_addr,hop_addr,probe_ttl,probe_attempt,probe_rtt,probe_retransmit,probe_sent_ttl,probe_sent_size,reply_rtt,reply_ttl,reply_ipid,reply_icmp_type,reply_icmp_code
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.693,254,36,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.656,254,48,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,7.856,254,58,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.096,254,67,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.705,254,74,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,5.052,254,82,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.71,253,594,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.991,253,391,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,7.482,253,887,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,6.058,253,933,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.641,253,723,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.275,253,774,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,5.767,253,713,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.76,253,248,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.103,253,560,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.376,253,48,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.475,253,916,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.34,253,215,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,4.477,252,0,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,4.431,252,0,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,4.099,252,0,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,4.33,252,0,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,3.967,252,0,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,4.418,252,0,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,10.50.3.22,5.53.0.144,5,0,N/A,N/A,N/A,N/A,5.355,250,9158,11,0
192.168.1.27,185.131.204.20,N/A,tcp-sport,N/A,36780,33435,10.50.3.22,5.53.0.144,5,0,N/A,N/A,N/A,N/A,4.703,250,21116,11,0
