src,dst,stime,method,proto,sport,dport,node_addr,hop_addr,probe_ttl,probe_attempt,probe_rtt,probe_retransmit,probe_sent_ttl,probe_sent_size,reply_rtt,reply_ttl,reply_ipid,reply_icmp_type,reply_icmp_code
192.168.1.27,185.131.204.20,N/A,udp-dport,N/A,33027,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.999,254,962,11,0
192.168.1.27,185.131.204.20,N/A,udp-dport,N/A,33027,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,5.068,254,965,11,0
192.168.1.27,185.131.204.20,N/A,udp-dport,N/A,33027,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,6.201,254,972,11,0
192.168.1.27,185.131.204.20,N/A,udp-dport,N/A,33027,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.593,254,974,11,0
192.168.1.27,185.131.204.20,N/A,udp-dport,N/A,33027,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.523,254,976,11,0
192.168.1.27,185.131.204.20,N/A,udp-dport,N/A,33027,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.734,254,977,11,0
192.168.1.27,185.131.204.20,N/A,udp-dport,N/A,33027,33435,191.112.0.1,10.50.3.9,3,1,N/A,N/A,N/A,N/A,4.238,253,257,11,0
192.168.1.27,185.131.204.20,N/A,udp-dport,N/A,33027,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.776,253,208,11,0
192.168.1.27,185.131.204.20,N/A,udp-dport,N/A,33027,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.053,253,997,11,0
192.168.1.27,185.131.204.20,N/A,udp-dport,N/A,33027,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.995,253,206,11,0
192.168.1.27,185.131.204.20,N/A,udp-dport,N/A,33027,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.767,253,75,11,0
192.168.1.27,185.131.204.20,N/A,udp-dport,N/A,33027,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,1.542,253,314,11,0
192.168.1.27,185.131.204.20,N/A,udp-dport,N/A,33027,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,5.096,253,895,11,0
192.168.1.27,185.131.204.20,N/A,udp-dport,N/A,33027,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.559,253,1023,11,0
192.168.1.27,185.131.204.20,N/A,udp-dport,N/A,33027,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.041,253,387,11,0
