src,dst,stime,method,proto,sport,dport,node_addr,hop_addr,probe_ttl,probe_attempt,probe_rtt,probe_retransmit,probe_sent_ttl,probe_sent_size,reply_rtt,reply_ttl,reply_ipid,reply_icmp_type,reply_icmp_code
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.795,254,208,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.123,254,214,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,5.09,254,220,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,3.996,254,225,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.787,254,230,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.393,254,233,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.361,253,472,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.825,253,589,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.534,253,937,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.606,253,596,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.339,253,377,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,191.112.0.1,10.50.3.21,3,1,N/A,N/A,N/A,N/A,4.408,253,587,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.081,253,649,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.157,253,717,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,191.112.0.1,10.50.3.21,3,1,N/A,N/A,N/A,N/A,4.489,253,33,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.292,253,162,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,191.112.0.1,10.50.3.21,3,1,N/A,N/A,N/A,N/A,3.489,253,424,11,0
192.168.1.27,130.104.228.159,N/A,udp-sport,N/A,63459,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,6.471,253,400,11,0
