Protocol,Target,IP,ASN,Occurrences
ICMP,185.131.204.20,172.17.0.1,No AS found,3
ICMP,185.131.204.20,192.168.1.1,No AS found,3
ICMP,185.131.204.20,191.112.0.1,7418,3
ICMP,185.131.204.20,10.50.3.9,No AS found,2
ICMP,185.131.204.20,10.50.3.21,No AS found,1
ICMP,185.131.204.20,176.52.248.55,12956,1
ICMP,185.131.204.20,213.140.43.206,12956,1
ICMP,185.131.204.20,84.116.132.177,6830,3
ICMP,185.131.204.20,212.161.150.165,6730,3
ICMP,185.131.204.20,84.20.39.214,6730,3
ICMP,185.131.204.20,84.20.40.252,6730,3
ICMP,185.131.204.20,185.131.204.20,6730,3
ICMP,5.161.76.19,172.17.0.1,No AS found,3
ICMP,5.161.76.19,192.168.1.1,No AS found,3
ICMP,5.161.76.19,191.112.0.1,7418,3
ICMP,5.161.76.19,10.50.3.21,No AS found,2
ICMP,5.161.76.19,10.50.3.9,No AS found,1
ICMP,5.161.76.19,10.50.3.10,No AS found,3
ICMP,5.161.76.19,213.140.39.160,12956,1
ICMP,5.161.76.19,94.142.98.131,12956,1
ICMP,5.161.76.19,213.140.43.206,12956,1
ICMP,5.161.76.19,62.115.120.176,1299,3
ICMP,5.161.76.19,62.115.123.125,1299,3
ICMP,5.161.76.19,62.115.56.201,1299,3
ICMP,5.161.76.19,5.161.0.86,213230,3
ICMP,5.161.76.19,5.161.9.171,213230,3
ICMP,80.77.4.60,172.17.0.1,No AS found,3
ICMP,80.77.4.60,192.168.1.1,No AS found,3
ICMP,80.77.4.60,191.112.0.1,7418,3
ICMP,80.77.4.60,10.50.3.9,No AS found,1
ICMP,80.77.4.60,10.50.3.21,No AS found,2
ICMP,80.77.4.60,94.142.98.131,12956,1
ICMP,80.77.4.60,62.115.120.176,1299,3
ICMP,80.77.4.60,62.115.136.200,1299,3
ICMP,80.77.4.60,62.115.112.71,1299,3
ICMP,80.77.4.60,62.115.57.79,1299,3
ICMP,80.77.4.60,85.95.26.222,15412,3
ICMP,80.77.4.60,62.216.131.30,15412,3
ICMP,80.77.4.60,62.216.128.210,15412,3
ICMP,80.77.4.60,85.95.25.93,15412,3
ICMP,80.77.4.60,80.77.4.60,15412,3
ICMP,130.104.228.159,172.17.0.1,No AS found,3
ICMP,130.104.228.159,192.168.1.1,No AS found,3
ICMP,130.104.228.159,191.112.0.1,7418,3
ICMP,130.104.228.159,10.50.3.9,No AS found,3
ICMP,130.104.228.159,130.104.228.159,2611,3
UDP,185.131.204.20,172.17.0.1,No AS found,3
UDP,185.131.204.20,192.168.1.1,No AS found,3
UDP,185.131.204.20,191.112.0.1,7418,3
UDP,185.131.204.20,10.50.3.21,No AS found,2
UDP,185.131.204.20,10.50.3.10,No AS found,3
UDP,185.131.204.20,213.140.39.160,12956,2
UDP,185.131.204.20,213.46.186.17,6830,3
UDP,185.131.204.20,84.116.132.177,6830,3
UDP,185.131.204.20,212.161.150.165,6730,3
UDP,185.131.204.20,84.20.39.214,6730,3
UDP,185.131.204.20,84.20.40.252,6730,3
UDP,185.131.204.20,185.131.204.20,6730,3
UDP,5.161.76.19,172.17.0.1,No AS found,3
UDP,5.161.76.19,192.168.1.1,No AS found,3
UDP,5.161.76.19,191.112.0.1,7418,3
UDP,5.161.76.19,10.50.3.21,No AS found,2
UDP,5.161.76.19,10.50.3.9,No AS found,1
UDP,80.77.4.60,172.17.0.1,No AS found,3
UDP,80.77.4.60,192.168.1.1,No AS found,3
UDP,80.77.4.60,191.112.0.1,7418,3
