Protocol,Target,IP,ASN,Occurrences
ICMP,185.131.204.20,185.131.204.1,6730,3
ICMP,185.131.204.20,84.20.40.250,6730,3
ICMP,185.131.204.20,84.20.39.213,6730,3
ICMP,185.131.204.20,84.116.202.105,6830,3
ICMP,185.131.204.20,212.161.247.131,6730,3
ICMP,185.131.204.20,84.116.134.21,6830,3
ICMP,185.131.204.20,213.46.182.1,6830,3
ICMP,185.131.204.20,176.52.248.137,12956,3
ICMP,185.131.204.20,94.142.127.43,12956,3
ICMP,185.131.204.20,5.53.1.63,12956,3
ICMP,185.131.204.20,186.105.96.1,7418,3
ICMP,185.131.204.20,191.112.23.7,7418,6
ICMP,5.161.76.19,172.31.1.1,No AS found,3
ICMP,5.161.76.19,5.161.9.171,213230,2
ICMP,5.161.76.19,5.161.0.193,213230,3
ICMP,5.161.76.19,5.161.0.85,213230,3
ICMP,5.161.76.19,157.238.230.238,2914,3
ICMP,5.161.76.19,129.250.5.6,2914,3
ICMP,5.161.76.19,129.250.5.45,2914,3
ICMP,5.161.76.19,129.250.8.118,2914,3
ICMP,5.161.76.19,213.140.49.246,12956,3
ICMP,5.161.76.19,94.142.118.10,12956,2
ICMP,5.161.76.19,5.53.1.63,12956,3
ICMP,5.161.76.19,186.105.96.1,7418,3
ICMP,5.161.76.19,191.112.23.7,7418,6
ICMP,80.77.4.60,80.77.4.57,15412,3
ICMP,80.77.4.60,85.95.25.94,15412,3
ICMP,80.77.4.60,62.115.187.124,1299,3
ICMP,80.77.4.60,94.142.107.214,12956,3
ICMP,80.77.4.60,94.142.127.10,12956,3
ICMP,80.77.4.60,84.16.12.158,12956,3
ICMP,80.77.4.60,94.142.118.10,12956,1
ICMP,80.77.4.60,5.53.1.63,12956,3
ICMP,80.77.4.60,186.105.96.1,7418,3
ICMP,80.77.4.60,191.112.23.7,7418,6
ICMP,130.104.228.159,130.104.228.253,2611,3
ICMP,130.104.228.159,10.255.235.51,No AS found,3
ICMP,130.104.228.159,10.255.218.62,No AS found,3
ICMP,130.104.228.159,10.255.218.1,No AS found,3
ICMP,130.104.228.159,193.191.3.85,2611,3
ICMP,130.104.228.159,10.28.87.213,No AS found,3
ICMP,130.104.228.159,154.25.12.245,174,3
ICMP,130.104.228.159,154.54.57.165,174,3
ICMP,130.104.228.159,130.117.1.46,174,3
ICMP,130.104.228.159,213.140.39.30,12956,3
ICMP,130.104.228.159,94.142.127.43,12956,3
ICMP,130.104.228.159,213.140.35.116,12956,2
ICMP,130.104.228.159,94.142.118.10,12956,2
ICMP,130.104.228.159,5.53.1.63,12956,3
ICMP,130.104.228.159,186.105.96.1,7418,3
ICMP,130.104.228.159,191.112.23.7,7418,6
UDP,185.131.204.20,185.131.204.1,6730,6
UDP,185.131.204.20,84.20.40.250,6730,6
UDP,185.131.204.20,84.20.39.213,6730,6
UDP,185.131.204.20,84.116.202.105,6830,6
UDP,185.131.204.20,212.161.247.131,6730,3
UDP,185.131.204.20,84.116.134.141,6830,3
UDP,185.131.204.20,84.116.211.138,6830,3
UDP,185.131.204.20,212.25.28.235,8758,3
UDP,185.131.204.20,212.25.28.238,8758,3
UDP,185.131.204.20,193.0.14.129,25152,3
UDP,5.161.76.19,172.31.1.1,No AS found,3
UDP,5.161.76.19,5.161.9.171,213230,2
UDP,5.161.76.19,5.161.0.145,213230,3
UDP,5.161.76.19,5.161.0.81,213230,3
UDP,5.161.76.19,157.238.230.238,2914,3
UDP,5.161.76.19,129.250.5.6,2914,3
UDP,5.161.76.19,129.250.5.45,2914,3
UDP,5.161.76.19,129.250.8.118,2914,3
UDP,5.161.76.19,5.53.1.63,12956,3
UDP,5.161.76.19,186.105.96.1,7418,3
UDP,5.161.76.19,191.112.23.7,7418,6
UDP,80.77.4.60,80.77.4.57,15412,3
UDP,80.77.4.60,85.95.25.94,15412,3
UDP,80.77.4.60,62.115.187.124,1299,3
UDP,80.77.4.60,94.142.107.214,12956,3
UDP,80.77.4.60,213.140.38.243,12956,3
UDP,80.77.4.60,94.142.127.43,12956,3
UDP,80.77.4.60,213.140.35.116,12956,1
UDP,80.77.4.60,94.142.118.10,12956,1
UDP,80.77.4.60,5.53.1.63,12956,3
UDP,80.77.4.60,186.105.96.1,7418,3
UDP,80.77.4.60,191.112.23.7,7418,6
UDP,130.104.228.159,130.104.228.253,2611,3
UDP,130.104.228.159,10.255.235.51,No AS found,3
UDP,130.104.228.159,10.255.218.62,No AS found,3
UDP,130.104.228.159,10.255.218.1,No AS found,3
UDP,130.104.228.159,193.191.3.85,2611,3
UDP,130.104.228.159,10.28.87.213,No AS found,3
UDP,130.104.228.159,154.25.12.245,174,3
UDP,130.104.228.159,154.54.57.165,174,3
UDP,130.104.228.159,130.117.1.46,174,3
UDP,130.104.228.159,213.140.39.30,12956,3
UDP,130.104.228.159,94.142.127.43,12956,3
UDP,130.104.228.159,213.140.35.116,12956,2
UDP,130.104.228.159,94.142.118.10,12956,3
UDP,130.104.228.159,5.53.1.63,12956,3
UDP,130.104.228.159,186.105.96.1,7418,3
UDP,130.104.228.159,191.112.23.7,7418,6
TCP,185.131.204.20,185.131.204.1,6730,1
TCP,5.161.76.19,172.31.1.1,No AS found,3
TCP,5.161.76.19,5.161.9.171,213230,2
TCP,5.161.76.19,5.161.0.145,213230,3
TCP,5.161.76.19,5.161.0.81,213230,3
TCP,5.161.76.19,157.238.230.238,2914,3
TCP,5.161.76.19,129.250.5.6,2914,3
TCP,5.161.76.19,129.250.5.45,2914,3
TCP,5.161.76.19,129.250.8.118,2914,3
TCP,5.161.76.19,213.140.49.246,12956,3
TCP,5.161.76.19,94.142.118.10,12956,1
TCP,5.161.76.19,5.53.1.63,12956,3
TCP,5.161.76.19,186.105.96.1,7418,3
TCP,5.161.76.19,191.112.23.7,7418,6
TCP,80.77.4.60,80.77.4.57,15412,3
TCP,80.77.4.60,85.95.25.94,15412,3
TCP,80.77.4.60,62.115.187.124,1299,1
TCP,80.77.4.60,94.142.107.214,12956,3
TCP,80.77.4.60,94.142.127.10,12956,3
TCP,80.77.4.60,84.16.12.158,12956,3
TCP,80.77.4.60,5.53.1.63,12956,3
TCP,80.77.4.60,186.105.96.1,7418,3
TCP,80.77.4.60,191.112.23.7,7418,6
TCP,130.104.228.159,130.104.228.253,2611,3
TCP,130.104.228.159,10.255.235.51,No AS found,3
TCP,130.104.228.159,10.255.218.62,No AS found,3
TCP,130.104.228.159,10.255.218.1,No AS found,3
TCP,130.104.228.159,193.191.3.85,2611,3
TCP,130.104.228.159,10.28.87.213,No AS found,3
TCP,130.104.228.159,154.25.12.245,174,3
TCP,130.104.228.159,130.117.48.233,174,3
TCP,130.104.228.159,130.117.0.166,174,3
TCP,130.104.228.159,213.140.39.30,12956,3
TCP,130.104.228.159,94.142.127.43,12956,3
TCP,130.104.228.159,5.53.1.63,12956,3
TCP,130.104.228.159,186.105.96.1,7418,3
TCP,130.104.228.159,191.112.23.7,7418,6
