target,protocol,matches,unmatched_forward,unmatched_reverse
185.131.204.20,ICMP,[],"['176.52.248.55', '84.20.39.214', '185.131.204.20', '84.116.132.177', '10.50.3.9', '213.140.43.206', '192.168.1.1', '212.161.150.165', '84.20.40.252', '191.112.0.1', '10.50.3.21', '172.17.0.1']","['84.116.202.105', '212.161.247.131', '5.53.1.63', '84.116.134.21', '213.46.182.1', '94.142.127.43', '84.20.39.213', '176.52.248.137', '186.105.96.1', '84.20.40.250', '191.112.23.7', '185.131.204.1']"
185.131.204.20,UDP,[],"['10.50.3.10', '84.20.39.214', '185.131.204.20', '213.46.186.17', '84.116.132.177', '212.161.150.165', '192.168.1.1', '84.20.40.252', '213.140.39.160', '191.112.0.1', '10.50.3.21', '172.17.0.1']","['193.0.14.129', '212.25.28.238', '84.116.202.105', '212.161.247.131', '212.25.28.235', '84.116.211.138', '84.20.39.213', '84.116.134.141', '84.20.40.250', '185.131.204.1']"
185.131.204.20,TCP,[],"['10.50.3.10', '176.52.248.55', '84.20.39.214', '185.131.204.20', '84.116.132.177', '10.50.3.9', '212.161.150.165', '192.168.1.1', '84.20.40.252', '191.112.0.1', '10.50.3.21', '172.17.0.1']",['185.131.204.1']
5.161.76.19,ICMP,['5.161.9.171'],"['10.50.3.10', '94.142.98.131', '62.115.123.125', '5.161.0.86', '10.50.3.9', '213.140.43.206', '192.168.1.1', '62.115.120.176', '62.115.56.201', '213.140.39.160', '191.112.0.1', '10.50.3.21', '172.17.0.1']","['94.142.118.10', '157.238.230.238', '213.140.49.246', '5.53.1.63', '172.31.1.1', '186.105.96.1', '129.250.5.6', '129.250.5.45', '129.250.8.118', '191.112.23.7', '5.161.0.193', '5.161.0.85']"
5.161.76.19,UDP,[],"['172.17.0.1', '191.112.0.1', '10.50.3.21', '10.50.3.9', '192.168.1.1']","['5.161.9.171', '157.238.230.238', '5.53.1.63', '5.161.0.81', '172.31.1.1', '186.105.96.1', '129.250.5.6', '129.250.5.45', '129.250.8.118', '5.161.0.145', '191.112.23.7']"
5.161.76.19,TCP,['5.161.9.171'],"['10.50.3.10', '176.52.248.55', '62.115.123.125', '10.50.3.9', '192.168.1.1', '5.161.0.82', '62.115.120.176', '62.115.56.201', '191.112.0.1', '10.50.3.21', '172.17.0.1']","['94.142.118.10', '157.238.230.238', '213.140.49.246', '5.53.1.63', '5.161.0.81', '172.31.1.1', '186.105.96.1', '129.250.5.6', '129.250.5.45', '129.250.8.118', '5.161.0.145', '191.112.23.7']"
80.77.4.60,ICMP,[],"['94.142.98.131', '62.115.57.79', '85.95.25.93', '10.50.3.9', '80.77.4.60', '192.168.1.1', '62.115.120.176', '62.115.136.200', '62.216.131.30', '191.112.0.1', '85.95.26.222', '10.50.3.21', '62.216.128.210', '172.17.0.1', '62.115.112.71']","['94.142.127.10', '94.142.118.10', '62.115.187.124', '5.53.1.63', '94.142.107.214', '186.105.96.1', '191.112.23.7', '80.77.4.57', '85.95.25.94', '84.16.12.158']"
80.77.4.60,UDP,[],"['62.115.112.69', '213.140.43.234', '10.50.3.22', '62.115.119.230', '80.77.4.60', '192.168.1.1', '62.216.131.30', '62.216.128.210', '172.17.0.1', '94.142.107.213', '85.95.26.166', '62.115.57.79', '10.50.3.21', '85.95.25.93', '191.112.0.1', '62.115.139.34']","['94.142.118.10', '213.140.35.116', '62.115.187.124', '213.140.38.243', '5.53.1.63', '94.142.127.43', '94.142.107.214', '186.105.96.1', '191.112.23.7', '80.77.4.57', '85.95.25.94']"
80.77.4.60,TCP,[],"['213.140.43.234', '10.50.3.22', '10.50.3.9', '80.77.4.60', '192.168.1.1', '62.115.120.176', '85.95.26.222', '62.216.131.154', '172.17.0.1', '62.115.112.71', '62.115.57.79', '10.50.3.21', '85.95.25.93', '62.115.136.200', '191.112.0.1', '5.53.0.144', '62.216.128.214']","['94.142.127.10', '62.115.187.124', '5.53.1.63', '94.142.107.214', '186.105.96.1', '191.112.23.7', '80.77.4.57', '85.95.25.94', '84.16.12.158']"
130.104.228.159,ICMP,[],"['191.112.0.1', '130.104.228.159', '172.17.0.1', '10.50.3.9', '192.168.1.1']","['94.142.118.10', '130.104.228.253', '130.117.1.46', '10.255.235.51', '10.28.87.213', '213.140.35.116', '193.191.3.85', '5.53.1.63', '154.54.57.165', '94.142.127.43', '10.255.218.62', '186.105.96.1', '213.140.39.30', '191.112.23.7', '154.25.12.245', '10.255.218.1']"
130.104.228.159,UDP,[],"['130.104.228.159', '10.50.3.22', '193.191.3.86', '212.133.24.90', '192.168.1.1', '191.112.0.1', '171.75.8.23', '10.50.3.21', '172.17.0.1']","['94.142.118.10', '130.104.228.253', '130.117.1.46', '10.255.235.51', '10.28.87.213', '213.140.35.116', '193.191.3.85', '5.53.1.63', '154.54.57.165', '94.142.127.43', '10.255.218.62', '186.105.96.1', '213.140.39.30', '191.112.23.7', '154.25.12.245', '10.255.218.1']"
130.104.228.159,TCP,[],"['94.142.98.131', '130.104.228.159', '193.191.3.86', '10.50.3.9', '212.133.24.90', '192.168.1.1', '213.140.39.160', '191.112.0.1', '171.75.8.23', '10.50.3.21', '172.17.0.1']","['130.117.0.166', '193.191.3.85', '130.104.228.253', '5.53.1.63', '94.142.127.43', '10.255.235.51', '10.255.218.62', '186.105.96.1', '213.140.39.30', '191.112.23.7', '154.25.12.245', '130.117.48.233', '10.255.218.1', '10.28.87.213']"
